rank,word
1,the
2,of
3,and
4,to
5,in
6,a
7,is
8,was
9,that
10,for
11,as
12,with
13,by
14,on
15,are
16,from
17,be
18,or
19,his
20,were
21,it
22,an
23,at
24,not
25,which
26,have
27,he
28,had
29,this
30,has
31,also
32,their
33,but
34,one
35,can
36,its
37,on the
38,other
39,been
40,more
41,they
42,used
43,first
44,all
45,two
46,citation
47,than
48,into
49,would
50,only
51,time
52,who
53,most
54,may
55,such
56,some
57,many
58,when
59,after
60,between
61,over
62,these
63,her
64,about
65,there
66,use
67,no
68,them
69,new
70,him
71,will
72,out
73,during
74,made
75,both
76,then
77,often
78,so
79,any
80,being
81,such as
82,where
83,number
84,could
85,main
86,p.
87,through
88,system
89,people
90,known
91,each
92,while
93,if
94,called
95,convert
96,same
97,later
98,three
99,because
100,well
101,work
102,before
103,the same
104,under
105,part
106,very
107,different
108,became
109,year
110,did
111,large
112,example
113,several
114,city
115,early
116,until
117,much
118,government
119,found
120,own
121,since
122,she
123,even
124,form
125,power
126,do
127,those
128,around
129,state
130,including
131,set
132,high
133,life
134,against
135,second
136,century
137,within
138,world
139,still
140,end
141,using
142,small
143,name
144,what
145,now
146,usually
147,American
148,without
149,however
150,began
151,like
152,as well
153,area
154,make
155,common
156,the most
157,water
158,United States
159,another
160,way
161,due
162,must
163,long
164,less
165,four
166,death
167,said
168,film
169,order
170,due to
171,back
172,public
173,does
174,left
175,based
176,few
177,become
178,known as
179,s
180,given
181,country
182,major
183,British
184,place
185,group
186,considered
187,among
188,game
189,point
190,used to
191,period
192,support
193,war
194,music
195,down
196,million
197,important
198,systems
199,control
200,should
201,took
202,day
203,family
204,language
205,last
206,original
207,result
208,political
209,line
210,members
211,case
212,as well as
213,see
214,single
215,just
216,process
217,along
218,similar
219,take
220,following
221,we
222,although
223,countries
224,right
225,either
226,times
227,areas
228,published
229,the other
230,local
231,include
232,population
233,never
234,data
235,home
236,every
237,various
238,the time
239,modern
240,further
241,development
242,per
243,how
244,led
245,possible
246,military
247,popular
248,term
249,though
250,history
251,generally
252,you
253,off
254,rather
255,men
256,law
257,developed
258,German
259,held
260,human
261,production
262,body
263,general
264,the world
265,light
266,sometimes
267,states
268,late
269,field
270,based on
271,having
272,came
273,above
274,available
275,book
276,others
277,York
278,next
279,created
280,U.S.
281,show
282,himself
283,out of
284,wrote
285,days
286,died
287,word
288,play
289,again
290,great
291,service
292,age
293,seen
294,children
295,level
296,released
297,works
298,continued
299,pp.
300,the two
301,five
302,higher
303,species
304,energy
305,required
306,change
307,means
308,team
309,January
310,information
311,theory
312,New York
313,produced
314,making
315,built
316,design
317,role
318,addition
319,included
320,almost
321,side
322,position
323,groups
324,able
325,de
326,land
327,total
328,range
329,July
330,national
331,space
332,written
333,social
334,version
335,Europe
336,season
337,force
338,air
339,allowed
340,largest
341,good
342,type
343,itself
344,received
345,women
346,low
347,throughout
348,taken
349,standard
350,little
351,least
352,that is
353,free
354,cases
355,size
356,thus
357,school
358,especially
359,old
360,upon
361,particular
362,terms
363,effect
364,provide
365,lower
366,certain
367,together
368,present
369,always
370,short
371,parts
372,words
373,third
374,April
375,described
376,too
377,up to
378,established
379,might
380,played
381,forces
382,natural
383,June
384,once
385,months
386,rate
387,European
388,numbers
389,six
390,man
391,rather than
392,hand
393,typically
394,value
395,England
396,London
397,October
398,could be
399,final
400,the country
401,September
402,average
403,France
404,instead
405,current
406,December
407,international
408,program
409,character
410,increased
411,a few
412,surface
413,across
414,thought
415,company
416,followed
417,best
418,provided
419,economic
420,games
421,significant
422,named
423,function
424,building
425,went
426,return
427,uses
428,fact
429,study
430,below
431,full
432,source
433,lost
434,America
435,person
436,a number
437,changes
438,longer
439,research
440,individual
441,languages
442,strong
443,structure
444,party
445,larger
446,run
447,open
448,cause
449,aircraft
450,away
451,far
452,region
453,need
454,food
455,forms
456,increase
457,outside
458,started
459,material
460,cannot
461,November
462,half
463,head
464,market
465,near
466,record
467,traditional
468,special
469,style
470,all the
471,sent
472,story
473,February
474,player
475,designed
476,top
477,at least
478,themselves
479,model
480,returned
481,band
482,because of
483,help
484,types
485,come
486,points
487,added
488,events
489,network
490,limited
491,services
492,nature
493,army
494,former
495,father
496,close
497,view
498,allow
499,won
500,specific
501,elements
502,practice
503,lines
504,gave
505,pressure
506,introduced
507,produce
508,moved
509,whether
510,religious
511,put
512,official
513,movement
514,my
515,Germany
516,students
517,trade
518,method
519,attack
520,in order
521,problems
522,art
523,eventually
524,evidence
525,referred
526,results
527,caused
528,remained
529,influence
530,success
531,meaning
532,brought
533,believed
534,enough
535,features
536,give
537,young
538,white
539,culture
540,problem
541,characters
542,lead
543,action
544,according
545,referred to
546,conditions
547,performance
548,according to
549,effects
550,amount
551,black
552,business
553,working
554,better
555,difficult
556,temperature
557,education
558,real
559,money
560,smaller
561,create
562,located
563,directly
564,sound
565,leading
566,ground
567,therefore
568,get
569,private
570,formed
571,particularly
572,Chinese
573,television
574,subject
575,south
576,cities
577,album
578,class
579,industry
580,computer
581,beginning
582,community
583,already
584,complete
585,go
586,players
587,associated
588,related
589,physical
590,our
591,town
592,move
593,complex
594,interest
595,rule
596,speed
597,commonly
598,in order to
599,rights
600,living
601,for example
602,greater
603,writing
604,find
605,growth
606,killed
607,court
608,levels
609,house
610,against the
611,office
612,done
613,shows
614,Spanish
615,needed
616,saw
617,central
618,entire
619,fire
620,son
621,books
622,mostly
623,access
624,soon
625,today
626,earlier
627,variety
628,additional
629,percent
630,foreign
631,ever
632,recorded
633,future
634,widely
635,title
636,all of
637,shown
638,successful
639,radio
640,project
641,construction
642,changed
643,king
644,remains
645,mass
646,personal
647,policy
648,code
649,includes
650,involved
651,Africa
652,idea
653,names
654,separate
655,base
656,length
657,rules
658,key
659,units
660,likely
661,makes
662,release
663,cost
664,church
665,films
666,majority
667,primary
668,performed
669,methods
670,stated
671,appear
672,whole
673,so that
674,member
675,allows
676,decided
677,Japanese
678,reported
679,sold
680,capital
681,science
682,society
683,rest
684,stage
685,event
686,whose
687,recent
688,color
689,legal
690,highly
691,career
692,song
693,frequently
694,placed
695,simple
696,defined
697,me
698,mother
699,appeared
700,India
701,schools
702,turn
703,simply
704,relationship
705,multiple
706,nearly
707,sense
708,past
709,relatively
710,forced
